2016-06-09 16:25:29 [ol_normalize_data] [DEBUG]  [59/771] Reading in data and OL normalizing
2016-06-09 16:25:30 [ol_normalize_data] [DEBUG]  [59/771] Summing values
2016-06-09 16:25:30 [ol_normalize_data] [INFO ]  [60/771] Processing raster data/processed/features/udr/european_tetrapods/birds/ardea_purpurea.tif
2016-06-09 16:25:30 [ol_normalize_data] [DEBUG]  [60/771] Reading in data and OL normalizing
2016-06-09 16:25:30 [ol_normalize_data] [DEBUG]  [60/771] Summing values
2016-06-09 16:25:30 [ol_normalize_data] [INFO ]  [61/771] Processing raster data/processed/features/udr/european_tetrapods/birds/ardeola_ralloides.tif
2016-06-09 16:25:30 [ol_normalize_data] [DEBUG]  [61/771] Reading in data and OL normalizing
2016-06-09 16:25:30 [ol_normalize_data] [DEBUG]  [61/771] Summing values
2016-06-09 16:25:30 [ol_normalize_data] [INFO ]  [62/771] Processing raster data/processed/features/udr/european_tetrapods/birds/arenaria_interpres.tif
2016-06-09 16:25:30 [ol_normalize_data] [DEBUG]  [62/771] Reading in data and OL normalizing
2016-06-09 16:25:31 [ol_normalize_data] [DEBUG]  [62/771] Summing values
2016-06-09 16:25:31 [ol_normalize_data] [INFO ]  [63/771] Processing raster data/processed/features/udr/european_tetrapods/birds/asio_flammeus.tif
2016-06-09 16:25:31 [ol_normalize_data] [DEBUG]  [63/771] Reading in data and OL normalizing
2016-06-09 16:25:31 [ol_normalize_data] [DEBUG]  [63/771] Summing values
2016-06-09 16:25:31 [ol_normalize_data] [INFO ]  [64/771] Processing raster data/processed/features/udr/european_tetrapods/birds/asio_otus.tif
2016-06-09 16:25:31 [ol_normalize_data] [DEBUG]  [64/771] Reading in data and OL normalizing
2016-06-09 16:25:32 [ol_normalize_data] [DEBUG]  [64/771] Summing values
2016-06-09 16:25:32 [ol_normalize_data] [INFO ]  [65/771] Processing raster data/processed/features/udr/european_tetrapods/birds/athene_noctua.tif
2016-06-09 16:25:32 [ol_normalize_data] [DEBUG]  [65/771] Reading in data and OL normalizing
2016-06-09 16:25:32 [ol_normalize_data] [DEBUG]  [65/771] Summing values
2016-06-09 16:25:32 [ol_normalize_data] [INFO ]  [66/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aythya_ferina.tif
2016-06-09 16:25:32 [ol_normalize_data] [DEBUG]  [66/771] Reading in data and OL normalizing
2016-06-09 16:25:33 [ol_normalize_data] [DEBUG]  [66/771] Summing values
2016-06-09 16:25:33 [ol_normalize_data] [INFO ]  [67/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aythya_fuligula.tif
2016-06-09 16:25:33 [ol_normalize_data] [DEBUG]  [67/771] Reading in data and OL normalizing
2016-06-09 16:25:33 [ol_normalize_data] [DEBUG]  [67/771] Summing values
2016-06-09 16:25:33 [ol_normalize_data] [INFO ]  [68/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aythya_marila.tif
2016-06-09 16:25:33 [ol_normalize_data] [DEBUG]  [68/771] Reading in data and OL normalizing
2016-06-09 16:25:33 [ol_normalize_data] [DEBUG]  [68/771] Summing values
2016-06-09 16:25:33 [ol_normalize_data] [INFO ]  [69/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aythya_nyroca.tif
2016-06-09 16:25:33 [ol_normalize_data] [DEBUG]  [69/771] Reading in data and OL normalizing
2016-06-09 16:25:34 [ol_normalize_data] [DEBUG]  [69/771] Summing values
2016-06-09 16:25:34 [ol_normalize_data] [INFO ]  [70/771] Processing raster data/processed/features/udr/european_tetrapods/birds/bombycilla_garrulus.tif
2016-06-09 16:25:34 [ol_normalize_data] [DEBUG]  [70/771] Reading in data and OL normalizing
2016-06-09 16:25:34 [ol_normalize_data] [DEBUG]  [70/771] Summing values
2016-06-09 16:25:34 [ol_normalize_data] [INFO ]  [71/771] Processing raster data/processed/features/udr/european_tetrapods/birds/bonasa_bonasia.tif
2016-06-09 16:25:34 [ol_normalize_data] [DEBUG]  [71/771] Reading in data and OL normalizing
2016-06-09 16:25:35 [ol_normalize_data] [DEBUG]  [71/771] Summing values
2016-06-09 16:25:35 [ol_normalize_data] [INFO ]  [72/771] Processing raster data/processed/features/udr/european_tetrapods/birds/botaurus_stellaris.tif
2016-06-09 16:25:35 [ol_normalize_data] [DEBUG]  [72/771] Reading in data and OL normalizing
2016-06-09 16:25:35 [ol_normalize_data] [DEBUG]  [72/771] Summing values
2016-06-09 16:25:35 [ol_normalize_data] [INFO ]  [73/771] Processing raster data/processed/features/udr/european_tetrapods/birds/branta_bernicla.tif
2016-06-09 16:25:35 [ol_normalize_data] [DEBUG]  [73/771] Reading in data and OL normalizing
2016-06-09 16:25:35 [ol_normalize_data] [DEBUG]  [73/771] Summing values
2016-06-09 16:25:35 [ol_normalize_data] [INFO ]  [74/771] Processing raster data/processed/features/udr/european_tetrapods/birds/branta_leucopsis.tif
2016-06-09 16:25:35 [ol_normalize_data] [DEBUG]  [74/771] Reading in data and OL normalizing
2016-06-09 16:25:36 [ol_normalize_data] [DEBUG]  [74/771] Summing values
2016-06-09 16:25:36 [ol_normalize_data] [INFO ]  [75/771] Processing raster data/processed/features/udr/european_tetrapods/birds/bubo_bubo.tif
2016-06-09 16:25:36 [ol_normalize_data] [DEBUG]  [75/771] Reading in data and OL normalizing
2016-06-09 16:25:36 [ol_normalize_data] [DEBUG]  [75/771] Summing values
2016-06-09 16:25:36 [ol_normalize_data] [INFO ]  [76/771] Processing raster data/processed/features/udr/european_tetrapods/birds/bubulcus_ibis.tif
2016-06-09 16:25:36 [ol_normalize_data] [DEBUG]  [76/771] Reading in data and OL normalizing
2016-06-09 16:25:37 [ol_normalize_data] [DEBUG]  [76/771] Summing values
2016-06-09 16:25:37 [ol_normalize_data] [INFO ]  [77/771] Processing raster data/processed/features/udr/european_tetrapods/birds/bucanetes_githagineus.tif
2016-06-09 16:25:37 [ol_normalize_data] [DEBUG]  [77/771] Reading in data and OL normalizing
2016-06-09 16:25:37 [ol_normalize_data] [DEBUG]  [77/771] Summing values
2016-06-09 16:25:37 [ol_normalize_data] [INFO ]  [78/771] Processing raster data/processed/features/udr/european_tetrapods/birds/bucephala_clangula.tif
2016-06-09 16:25:37 [ol_normalize_data] [DEBUG]  [78/771] Reading in data and OL normalizing
2016-06-09 16:25:37 [ol_normalize_data] [DEBUG]  [78/771] Summing values
